Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
New York Yankees,20,29.6,4.15,46,43,0.517,3.79,89,89,87,2,10,2,21,786,669,369,331,104,253,5,841,33,1,46,3260,114,3.84,1.173,7.7,1.2,2.9,9.6,3.32,533
Oakland Athletics,21,30.2,4.09,52,40,0.565,3.8,92,92,89,3,7,3,23,817,757,376,345,101,248,9,755,35,2,44,3432,107,3.96,1.23,8.3,1.1,2.7,8.3,3.04,605
Philadelphia Phillies,25,28.9,4.67,44,44,0.5,4.39,88,88,86,2,7,2,20,769.2,731,411,375,112,270,19,809,41,1,28,3291,91,4.17,1.301,8.5,1.3,3.2,9.5,3,571
Pittsburgh Pirates,27,28,4.9,34,56,0.378,4.88,90,90,90,0,3,0,13,773.1,730,441,419,109,324,6,730,43,3,34,3352,85,4.53,1.363,8.5,1.3,3.8,8.5,2.25,591
San Diego Padres,26,29.5,3.8,53,40,0.57,3.41,93,93,92,1,7,1,31,826.1,695,353,313,103,292,18,893,52,1,31,3462,111,3.87,1.194,7.6,1.1,3.2,9.7,3.06,630
Seattle Mariners,30,27.5,4.63,48,43,0.527,4.41,91,91,91,0,7,0,24,798.2,735,421,391,102,291,9,746,41,1,37,3383,95,4.2,1.285,8.3,1.1,3.3,8.4,2.56,566
San Francisco Giants,27,29.7,3.65,57,32,0.64,3.26,89,89,87,2,11,2,33,792.2,647,325,287,87,232,11,773,35,4,25,3238,125,3.65,1.109,7.3,1,2.6,8.8,3.33,535
St. Louis Cardinals,27,28.8,4.42,44,46,0.489,4.24,90,90,88,2,9,0,25,781.1,677,398,368,77,394,18,697,64,4,50,3417,89,4.41,1.371,7.8,0.9,4.5,8,1.77,675
Tampa Bay Rays,26,29.4,3.94,53,37,0.589,3.5,90,90,89,1,7,0,24,810,669,355,315,101,248,13,851,30,3,33,3291,114,3.71,1.132,7.4,1.1,2.8,9.5,3.43,506
Texas Rangers,23,28.6,4.76,35,55,0.389,4.45,90,90,90,0,2,0,17,799,789,428,395,122,273,10,733,31,0,43,3419,101,4.46,1.329,8.9,1.4,3.1,8.3,2.69,594
Toronto Blue Jays,31,29.3,4.28,45,42,0.517,3.99,87,87,87,0,5,0,16,758.2,679,372,336,118,276,8,814,38,2,25,3221,112,4.28,1.259,8.1,1.4,3.3,9.7,2.95,573
Washington Nationals,23,31.1,4.35,42,47,0.472,4.12,89,89,88,1,7,0,21,762,682,387,349,115,281,26,757,39,0,14,3238,90,4.4,1.264,8.1,1.4,3.3,8.9,2.69,565
League Average,24,28.9,4.47,45,45,0.5,4.18,90,90,89,1,,,22,786,715,401,365,106,299,12,796,39,3,37,3350,101,4.19,1.29,8.2,1.2,3.4,9.1,2.66,591
,733,28.9,4.47,1347,1347,0.5,4.18,2694,2694,2661,33,,,650,23576.1,21451,12033,10944,3193,8964,369,23878,1167,81,1095,100501,101,4.19,1.29,8.2,1.2,3.4,9.1,2.66,17739
